username,tweet,retweets,likes
helloross,@ladygaga #AStarIsBorn is the REAL DEAL! @LadyGaga is perfect. Bradley is perfect. @itsSHANGELA & @willam are PERFECT! I loved it so so so much! Oscars for everyone!,587,3821
nascar,Stars are born in the #NASCARPlayoffs @starisbornmovie | @wbpictures pic.twitter.com/rzhtLOHlVf,496,1601
itsshangela,That moment you get to say THANK YOU to two people who have truly given you a #Moment4Life. #BradleyCooper and @ladygaga @starisbornmovie  pic.twitter.com/udl25GDEte,472,3252
rottentomatoes,What are you seeing in theaters this weekend - #Venom or #AStarIsBorn?  pic.twitter.com/rcYjYZqPWx,449,1593
darrencriss,"I’ve been sitting on this @starisbornmovie rant (two, actually) for a month and I was finally compelled to write some of it down, so in honor of its opening weekend....  https://www.instagram.com/darrencriss/  pic.twitter.com/Edk5GZvmAx",399,3123
lennykravitz,Thank you Bradley for coming to support the #raisevibrationtour2018 last night and congratulations on a huge first week on @starisbornmovie.  #bradleycooper 📷: @candyTman pic.twitter.com/gi2fYlYq6M,383,3198
popcrave,.@twentyonepilots pokes fun at Lady Gaga & Bradley Cooper’s #AStarIsBorn soundtrack amid race to #1.  pic.twitter.com/vxqYfySPU3,371,2300
polydorrecords,"UK @ladygaga fans! To celebrate the release of #AStarIsBorn soundtrack, there are a very limited number of CDs featuring SIGNED postcards by Lady Gaga now available on the UK store. Get yours now before they run out!  https://LadyGaga.lnk.to/SignedCDTW  pic.twitter.com/QBD6OOsWiN",363,1029
gagamediadotnet,Lady Gaga confirms in an interview with Tyler Oakley that she plans on singing songs from the #AStarIsBorn soundtrack during live shows!  pic.twitter.com/gBCHOrLPbV,359,1793
wolfiesmom,"I ugly cried at the end (tbh all thru) @starisbornmovie My God, what a beautiful movie. @ladygaga is transcendant. And #BradleyCooper? Wow.",357,2754
iamwandasykes,"Thank you @ladygaga #BradleyCooper. Man, I needed that after this awful week.  #AStarIsBorn  https://www.instagram.com/p/BommT0jhxkf/?utm_source=ig_twitter_share&igshid=hfamft0lprzj …",315,1666
umg,The soundtrack to #AStarIsBorn lands at #1 on the @billboard 200 - giving @ladygaga her fifth No. 1 album!  Stream it now ↳  http://smarturl.it/rw5miu  pic.twitter.com/MHFHFZL5bT,314,874
erargento,Everyone go see A Star is Born. It’s perfection. It’s beautiful. It’s romantic. It’s heartbreaking. It’s devastating. It’s magic. Go. See. It. Now. #AStarIsBornMovie,304,979
ladygagaupdated,People made the right decision at a local target @twentyonepilots! #AStarIsBorn #AStarIsBornSoundtrack 📹: FR4NKY20 pic.twitter.com/k3YxVSJjd6,288,930
keriferg,I knew it would be good but WOW! #AStarIsBorn was amazing. Bradley Cooper and @ladygaga were absolutely brilliant. My eyes are pretty much swollen shut from all the emotion. @starisbornmovie #Oscars2019,271,997
trl,"@Camila_Cabello humpDAY✨🐫✨here's what's #FRESHOUT for 10.10, starring @camila_cabello @billieeilish @ladygaga @starisbornmovie  pic.twitter.com/9xDvQ3SxFG",271,736
billboard,Twitter reacts to @ladygaga's performance in #AStarIsBorn by demanding Oscars  https://blbrd.cm/jCG4LQ  pic.twitter.com/gUIdKfxpfA,262,1095
irichfields,@bradlycooper This weekend I saw @starisbornmovie with @BradlyCooper and  @ladygaga ... Wow! Best movie I’ve seen in a decade! You owe it to yourself to relive this timeless story. And Gaga is beautiful in this. Great Job! @MyQ105 pic.twitter.com/GMdocUK1t0,261,1048
ladygaganownet,New picture of Lady Gaga with  Shangela. #AStarIsBorn  pic.twitter.com/Dj6SPTn4MK,260,1340
realmickfoley,TREAT YOURSELF to #AStarIsBorn @starisbornmovie. The first duet with @ladygaga & Bradley Cooper is MAGICAL - up there with the 14th round of #Rocky & John Coffee healing Del’s mouse in #TheGreenMile as one of the best movie-going experiences of my life! pic.twitter.com/BH6i6a78jB,237,1274
arianagrandes,as if my mom just sent this to her book club group chat asjkhfdksjhf #AStarIsBorn  pic.twitter.com/fh4jbiprTl,234,676
akbar_gbaja,A damn star was born with ⁦@ladygaga⁩’s performance on the big screen. Well done👏🏾👏🏾 #AStarIsBorn 🎥  pic.twitter.com/3JsjL8NKGW,205,847
kbb703,me when i open up the music app and play the a star is born soundtrack (the dialogue especially) #AStarIsBorn  pic.twitter.com/r3og4GKJNp,201,409
mackenzierbush,"Quick PSA:  #AStarIsBorn should have a MAJOR suicide trigger warning. Like, it's graphic.  I just don't want anyone else to see it without knowing who could be harmed by it.",190,182
rupaulsdragrace,A Star is Born! @itsSHANGELA's giving you some #WednesdayWisdom and tea from behind the scenes of @starisbornmovie now in theaters!  WATCH 👉  https://on.vh1.com/2Ec85Po  pic.twitter.com/sqCjWnUo7w,188,1034
consequence,Album of the Week: Lady Gaga and Bradley Cooper Share Real Chemistry on A Star Is Born  http://cos.lv/8SGO30m7xbH  #AStarIsBorn  pic.twitter.com/EkrVYprnoj,187,609
monstergagaking,Me and my friends dancing to Why Did You Do That by Lady Gaga  #AStarIsBorn  pic.twitter.com/MQbcfUT0is,185,404
muumuse,"If Halsey exists in the #AStarIsBorn alternate universe, does G-Eazy also exist? If G-Eazy exists, does Britney exist? If Britney and G-Eazy exist, was the original version of the #MakeMe music video released in that universe? pic.twitter.com/VTGF563H1x",183,1117
jimnowakowski,I saw @starisbornmovie today & not only thought the movie was so beautifully done but the singing and acting was superb! @ladygaga & #BradleyCooper are exceptional. 🌟 GO SEE IT! 🎞,181,716
alexislives,"Still in my feelings about @ladygaga beautifully human performance in @starisbornmovie real and heartbreaking. Brava sis, Also yaasss Gaga",178,673
christophethan,"I accidentally played #Trench⁠ in the car a while ago and had to turn it off halfway through, my children wouldn't stop crying at how bad it was. Luckily #AStarIsBorn was out, and now we are all crying, tears of amazement. Please pray for my eldest he is still in a coma.  https://twitter.com/gagamonster96/status/1048692249733861376 …",177,572
jesskirkham1,"a star is born is the most raw, heartbreakingly beautiful film I have seen in a long long time- I can’t stop thinking about it #AStarIsBornMovie",177,793
gilliantan,.@DarrenCriss’s rendition of “Maybe It’s Time” from @starisbornmovie is 😍 @ElsieFest #ElsieFest #DarrenCriss pic.twitter.com/cukkb4HGQ6 – at Central Park SummerStage,176,488
jasoncollins98,@starisbornmovie Last night I saw a @StarIsBornMovie & I absolutely loved it! A huge congratulations @ladygaga & to my favorite scene stealers @itsSHANGELA & @william (y’all had me 😂🤣🗣😂 in the theater)!!!   I highly recommend everyone go see this movie 👏🏾🙌🏾👏🏾🙌🏾👏🏾🙌🏾,176,762
_itssavannah_,Wow.... anyone else secretly hoping Bradley Cooper and @ladygaga become a couple in real life? #AStarIsBornMovie,176,1830
hendrickschapli,#AStarIsBornMovie is the kind of movie that reminds you what the power of film is. #BradleyCooper is not only one of the finest stars around but now a bonafide director.  And there simply aren’t words to describe @ladygaga who has taken my breath away in every manner.,169,724
laurensamuels88,I cannot deal with how amazing @starisbornmovie is. Just absolutely exceptional. Blew me away. 🌟🌟🌟🌟🌟,167,805
nickfradiani,"Just saw #AStarIsBorn and was totally blown away. @ladygaga and Bradley Cooper were amazing, and the original music played throughout the film was so good. I really got hooked to the song “Maybe It’s Time.” Messed around with it today while rehearsing. Check it out! pic.twitter.com/j3fapDarqm",166,607
reneeyoungwwe,Lady Gaga and Bradley Cooper can take all of my money. #AStarIsBorn,164,2103
cnbcjou,"Just watched @starisbornmovie - such brilliant acting, directing and music score. So raw and beautiful   @ladygaga exudes brilliance - what talent   Watch it this weekend if you can",161,667
getfandom,"Audiences on @RottenTomatoes have ranked #Venom just above #AStarIsBorn, with 88% and 85% respectively 🍅  pic.twitter.com/f8FQ5u2DDU",159,651
gwenmoran,"For three hours this evening, I immersed myself in @starisbornmovie. Thank you, #BradleyCooper, @ladygaga, and all of the cast and crew. What a beautiful film. Sweet, heartbreaking respite from reality. #AStarIsBorn",158,724
iamrondavis,How cool is my pic of @itsSHANGELA @ladygaga when they spotted each other in between tons of  interviews on the carpet for the #AStarIsBornMovie London premiere Btw one HELL of a movie 👏😘  pic.twitter.com/XP1HMDVMDN,150,1124
mikeadamonair,There are whispers among music critics that the soundtrack for #AStarIsBorn will scoop up both an Oscar and Grammy!!! The soundtrack featuring #LadyGaga and #BradleyCooper is getting rave reviews... take a listen:  https://apple.co/2Qeo7cR  pic.twitter.com/ido4uUZGfo,148,437
gagamonster96,Is That Alright? jumps to #2 on US iTunes while Shallow rules at #1. 6 #AStarIsBorn tracks are inside the Top 10.  pic.twitter.com/2xwb0P4HyD,144,421
people,"@ladygaga Today is the day! See @LadyGaGa and Bradley Cooper in @starisbornmovie, in theaters now  pic.twitter.com/BSLhIkNqy4",144,607
aliwelch_,"Last night I watched @starisbornmovie and it was hands down one of the best movies I’ve seen. I’ve never smiled so hard and cried that much in any movie. I couldn’t take my eyes off of @ladygaga the entire movie. Amazing movie, 🥂 to her and Bradley Cooper. #AStarIsBornMovie",141,625
bigtop40,It's another New Entry from @starisbornmovie! @ladygaga's Always Remember Us This Way enters the chart this week at Number 10 ✨  See the full chart 👉  http://bt40.co/bt40  pic.twitter.com/J8hMV8ZsjM,136,377
spotifynews,@starisbornmovie Stuck in the #shallow? So are millions of listeners after @ladygaga's powerful performance in @StarIsBornMovie. Check out what "Shallow" says about the newest iteration of the immortal film.  https://buff.ly/2NKtdvO ,136,334
cnnphilippines,WATCH: Tony award-winning performer @MsLeaSalonga sings her heartfelt rendition of @ladygaga 's I'll never love again from the movie #AStarIsBorn | @TristanNodalo pic.twitter.com/oqSmVFlTkn,136,418
denny_uk,"I’m not sure what I’m more impressed with about @starisbornmovie - Bradley Cooper’s singing, Lady Gaga’s acting, Bradley Cooper’s directing, or the emotions this film elicits. Outstanding performances all around creating an outstanding film.",135,586
uncustomaryhw,"I saw #AStarIsBorn yesterday, and I’m so incredibly moved by it. I can’t stop thinking about how earth-shatteringly beautiful it was. I’m listing to the soundtrack right now, and I’m so happy that this exists. A @starisbornmovie is an absolute masterpiece of cinema and music.",132,508
boganteseduardo,Lady Gaga's song from A Star is Born "Always Remember Us This Way" was used for a wedding. This is about to be a classic ✨❤️ @ladygaga @starisbornmovie  pic.twitter.com/PZDRjOvDPI,130,469
chloelanier,Love you girl. Still crying. Go see @starisbornmovie !!!!!  https://twitter.com/RealEdenMccoy/status/1048098792929603590 …,128,638
brits,"🌟 After wowing crowds in @starisbornmovie, @ladygaga has scored another #BRITcertified Silver selling single with 'Yoü and I'! 🇬🇧💿 pic.twitter.com/jws3VF1ACa",128,319
parrack120,"@starisbornmovie is fantastic! @ladygaga moves into acting like she invented it! @ARamosofficial , Sam Elliot, @TheRealDiceClay , @itsSHANGELA , @willam , were phenomenal. Bradly Cooper .. thank you for making this w so much care and passion",120,417
wwenickmiller,So I saw A Star Is Born and I really liked A Star Is Born. Two Very enthusiastic thumbs up.! @starisbornmovie,120,604
ohsorafa,Yass came to see #astarisborn so fucking good! @ladygaga @starisbornmovie  pic.twitter.com/tHYMWCnWXp,119,467
themoywonder,"Wow, @starisbornmovie is such a powerful, moving film about addiction and sobriety. Amazing. Bradley Cooper and @ladygaga and Sam Elliot are phenomenal #AStarIsBorn",117,506
jeff_daniels,"Leading a slew of great performances, Bradley Cooper made a beautiful film full of actors listening to each other. Great work all around. #AStarIsBornMovie",116,1130
wmag,DJ White Shadow reveals how writing the music for #AStarIsBorn was a unique challenge:  http://wmag.cm/Vk5U2QJ ,115,442
maggiequick,has this been done? #AStarIsBorn  pic.twitter.com/DJEN5ROUP9,114,265
sageamitchell,"I cannot recommend #AStarIsBornMovie enough. Go see it and feel a million wonderful, intense, heartbreaking feelings all at once. @ladygaga",113,532
lzhernandez02,my heart still tugs from watching A Star is Born. Truly something else (make sure to bring your tissues) @starisbornmovie,108,682
ew,Ally's epic ballad in #AStarIsBorn ended up being a pivotal moment in Lady Gaga's real life  http://share.ew.com/ttZcFnx ,108,364
kirstensmillie,"From the first squeal on the guitar to the last note sang @starisbornmovie is INCREDIBLE!  I fell in love, felt joy, excitement, playful, curious for more. I felt sympathy, empathy, disappointment. Heartbreak. #AStarIsBorn",108,555
jonnybrenns,"cover of “always remember us this way” by @ladygaga ❤️ i’m obsessed w this song and the movie, hope i did it justice! #AStarIsBornMovie  pic.twitter.com/BbkzBZ8jjq",106,495
nathanjshanahan,"A phenomenal devastating wonder of a movie. Bradley Cooper has perfected directing, acting, and writing ALL AT ONCE (in his directorial debut!) and @ladygaga is a revelation (in her feature debut!) Oh and the music and sound design? A must-see on the big screen! #AStarIsBornMovie  https://twitter.com/starisbornmovie/status/1050763027384082433 …",102,505
boxofficemojo,Friday #BoxOffice Estimates: #Venom $32.75m; #AStarisBorn $15.8m; #Smallfoot $3.5m  https://imdb.to/2OF1WiR  pic.twitter.com/p1NKcZg7lg,100,310
michaelbearden,Finally! Excited A Star Is Born is out for everyone to see. My girl Gaga did an amazing job on this film! (even while we were working on other things! She’s driven!)  I’m predicting something major happening during awards season! ☺️M~ #astarisborn #asib #gaga #bradleycooper pic.twitter.com/8CK6Wv5mtF,98,415
jaakemeiior,This soundtrack is honestly the best soundtrack I’ve ever heard. It’s full of raw and beautiful vocals. Both Gaga and Bradley did such a phenomenal job. @ladygaga #AStarIsBorn @starisbornmovie pic.twitter.com/1TE8LSiUcn,95,625
mclaireegan,"Omg @starisbornmovie was soooo gooood!!😩❤️ @ladygaga was incredible, all the original music is amazing and will be playing on repeat in my house forever, and Bradley Cooper is a f’ing WALKING MASTER CLASS in acting. I can’t even. 🙌🌟 pic.twitter.com/kfHS2Fgke3",92,998
dmgbyrnes,"PSA for anyone going to see #AStarIsBorn, major trigger warnings for addiction & suicide.   I was absolutely NOT prepared. It happens to be less than a week from the anniversary of something very similar, such bad timing.  Suicide Prevention Line 1-800-273-8255, call if in crisis",90,88
variety,"#AStarIsBorn is heading to $42 million in its debut weekend, ahead of early expectations  https://bit.ly/2Nubmt3  pic.twitter.com/gFdn1su3UY",90,333
yesofficial,.@ladygaga seen sporting a 1978 Tormato Tour Tee in @starisbornmovie.  pic.twitter.com/WZpsUZF8Mo,86,466
italianmonster8,6 songs from #AStarIsBorn Soundtack is in the top 10 on US iTunes!! @ladygaga pic.twitter.com/kaDMNoGgmf,86,258
amykinla,"Amazing news!!!! We have tracked down my dream home from @starisbornmovie and it's only $2 million, so I will be moving in immediately!!!!  https://www.zillow.com/homedetails/481-Cold-Canyon-Rd-Calabasas-CA-91302/20553436_zpid/ … pic.twitter.com/Pk1dev68lS",84,669
giteshpandya,"Tonight, #LadyGaga will score her first $100M hit at the US #boxoffice with #AStarIsBorn. Starts today at $97.6M. 10th one for #BradleyCooper in a lead role. Much more $ to come in the weeks ahead.",83,208
lindspuff13,A week later and I still can’t get over how good @starisbornmovie was.  Incredibly moving. #AllTheFeels 🌟 @ladygaga #AStarIsBornMovie,83,445
derekhough,"Kitchen Serenade  @Dance10Hayley #astarisbornmovie @ Los Angeles, California  https://www.instagram.com/p/Bo8C-MghjUR/?utm_source=ig_twitter_share&igshid=2jo0q1m7e0hi …",81,501
numeroboxoffice,Weekend #BoxOffice Est. - Australia 1. #AStarIsBornMovie💫 - $6.02M 2. #Venom - $1.95M 3. #FirstMan - $1.11M Top10 #Movie Results:  https://bit.ly/2ECF282  pic.twitter.com/Ey3hjrNq8e,81,237
ruthiebaby319,"Just saw @ladygaga & Bradley Coopers' A Star is Born... it's so good, the music is amazing! Made me laugh, kept me in suspense, shocked me, left me speechless & made me cry!  #AStarIsBornMovie #amazing #unexpected #MustSee 🎶👏🏻👍🏻💖",80,454
aislinnash,Bradley Cooper's outstanding performance @starisbornmovie is beautifully directed. Music is on point! Stunning and powerful! A film you'll watch more than once - @ladygaga incredible performance and voice are both powerful and unique! A Star Is Born is perfect! #AStarIsBornMovie,78,394
chriscrocker,This photo is my review of #AStarIsBorn  pic.twitter.com/5ibROJjJm0,76,594
briannaliebold,New to twitter and think it is necessary to make my first tweet as a shout out to @ladygaga & Bradley Cooper for a film beyond amazing!  This film touched my heart in so many ways that I can not explain.  Thank You for that. #AStarIsBorn #BradleyCooper #LadyGaga,75,357
popalarms,Lady Gaga is now occupying four spots in the Top 5 of US iTunes: 1. Shallow  3. Is That Alright? 4. Always Remember Us This Way 5. I’ll Never Love Again (Extended)  The #AStarIsBorn soundtrack is also the #1 album.  pic.twitter.com/K8Br6pPFan,73,323
ashleyiaco,"Gaga is amazing as always, but on “Shallow” it’s all about Bradley Cooper’s solo verse. 😍 Side note: I’ve always thought Gaga’s beauty has been so underrated. I think she’s striking. #AStarIsBornMovie",72,2048
ifc,look all you like. 👀 #DocumentaryNow #AStarIsBorn  pic.twitter.com/DW4o6JEWVT,71,211
willthejoker,"A Star is Born, what an amazing film, Bradley Cooper and Lady Gaga were both incredible 👍👏👏 #AStarIsBornMovie #BradleyCooper #ladygaga",71,451
lgtournews,@twentyonepilots #AStarIsBorn Soundtrack - out now!   http://smarturl.it/ASIBSoundtrack ,70,412
apentertainment,"Film Review: #AStarIsBorn is simply terrific, writes @ldbahr. “A big-scale cinematic delight that will have the masses singing, swooning and sobbing along with it.” http://apne.ws/TlnRkAK ",67,247
irishcharts,@ladygaga Official Irish Singles Chart: @LadyGaga scores her highest charting single in FIVE years with Bradley Cooper duet Shallow from @starisbornmovie 🇮🇪 http://bit.ly/2zT3rBU  pic.twitter.com/hgupFCbeeO,67,157
dansmyers,"Wow, @starisbornmovie.  Absolutely incredible.  The music, the acting, the emotion, the everything.  Bravo, @ladygaga + Bradley Cooper.  🏆",66,545
blarracuente,Bradley Cooper was PHENOMENAL in #AStarIsBorn. That’s is all.,64,591
laura_raymond,@starisbornmovie left me speechless. A beautiful performance by #BradleyCooper and @ladygaga. I had to immediately download the soundtrack to relive it. If you haven’t seen it you need to.,62,275
scottmendelson,@Forbes Box Office: #AStarIsBorn Nabs Superb $15.8 Million Friday For Likely $44m-$53m Weekend Debut via @forbes by @ScottMendelson  https://www.forbes.com/sites/scottmendelson/2018/10/06/box-office-lady-gaga-and-bradley-coopers-a-star-is-born-nabs-superb-16m-friday/ … #LadyGaga #BradleyCooper #BoxOffice #Oscars,62,165
nprfreshair,Singer-songwriter Jason Isbell wrote the song "Maybe It's Time" for Bradley Cooper in #AStarIsBornMovie. Isbell's must-listen 2013 interview with Terry Gross focuses on his sobriety:  https://www.npr.org/2013/07/17/202369759/jason-isbell-locates-his-musical-compass-on-southeastern …,62,358
moviemantz,"BREAKING!! #Venom is exceeding box office expectations with $80m domestic for the weekend — that’s the biggest October opening ever, beating 2013’s Gravity ($55.7m)! #AStarIsBorn is also over performing with around $44m for the weekend!  pic.twitter.com/kCE6Ufm8HV",60,381
lifestylelinked,"Watched A star is born and was totally blown away. So much chemistry, beautiful acting and gorgeous songs. I already want to watch it again! 🙌#AStarIsBorn #AStarIsBornMovie #LadyGaga #movies #movie #gaga pic.twitter.com/yY1X2GCndl",60,340
vanityfair,"In #AStarIsBorn, ""Lady Gaga, like Cher before her, proves that acting is just another conduit through which to channel her innate (and also hard won, I’m sure) genius for entertaining.""  http://vntyfr.com/zVXLms8 ",58,228
shackeldaddy,"Highly recommend going to see A Star is Born with @ladygaga and Bradley Cooper. I went cus my fiancé wanted to see it but I wanted to see Venom, let me tell ya, it was really really good! . #imnotcrying #yourecrying #AStarIsBorn",58,128
blockbustercast,**New Episode** Our turn to review #AStarIsBorn! What were your thoughts on Bradley Coopers directorial debut? Enjoy! #PodernFamily #FilmTwitter https://m.soundcloud.com/blockbustermentality/a-star-is-born-movie-review …,58,49
disneygirl103,Everyone needs to go see #AStarIsBornMovie. Everything you heard about this movie is absolutely true. @ladygaga and #BradleyCooper were so phenomenal and had such amazing chemistry. @starisbornmovie is the type of movie that will stick with you for a while.,57,243
imdbjourney,"Ok #FilmTwitter, i'm closing in on my 100th 2018 #film, and want to make it a big one. Help me decide what to make it!  #AStarIsBorn #firstman #Poll #movie #Oscars2019 #drama #biography #history #music #romance #movies #films #Oscars @FirstManMovie @starisbornmovie #moviepodsquad",57,50
sternshow,"In 2016, before filming began for @starisbornmovie, @ladygaga told @HowardStern how she bonded with Bradley Cooper and what it took to land the movie role.  Watch more from Lady Gaga's #SternShow appearances on the @SIRIUSXM app:  https://siriusxm.us/2Qn55BL  pic.twitter.com/vzty7FmC5C",57,421
gscinemas,RT this if you think @ladygaga is AMAZING in #AStarisBorn!  Get your tickets today.  pic.twitter.com/ODjoAoL6pT,52,56
mmbaliannn,Why didn’t anyone prepare me for A Star is Born? I legit ugly cried last night and I wasn’t ready for that much emotion. #astarisborn,51,227
carolineoh3,#AStarIsBornMovie looks great!!!  pic.twitter.com/uzi2vQyTNE,50,245
bullregards,The lights come up. The credits start. No sounds except for the audience quietly weeping. The proof of an amazing movie. #AStarIsBornMovie,49,167
thr,"@ladygaga When @LadyGaga showed up at an NYC screening of #AStarIsBorn, she left fans with the advice, “Be who you are, fight to be who you are”  http://thr.cm/BjeVg3  pic.twitter.com/HyolFmfWT6",48,164
pitro_blood,I don’t know who I loathe more Prince Joffrey or this guy #AStarIsBorn  pic.twitter.com/p3k0QyPSzJ,48,213
thehausofsean,This review by Beth & Gail of #AStarIsBorn is a MOOD! @ladygaga pic.twitter.com/oM3Ch84set,48,149
ginalee74748805,Great version of this classic film #AStarIsBorn ♥️🤴🏻⭐️🎯🙋🏻‍♀️  https://www.facebook.com/story.php?story_fbid=2754555984569894&id=100000465593583 …,47,57
realedenmccoy,@starisbornmovie with the best date @chloelanier tonight was EVERYTHING and we are wrecked😭.  worth every tear @ladygaga #bradleycooper 🔥💔 pic.twitter.com/iG32VIcgbV,46,215
sashaalexander,So thrilled for #BradleyCooper! Can’t wait to see his brilliance in #AStarIsBornMovie 👏🏻👏🏻👏🏻  https://twitter.com/THR/status/1047883317281005569 …,45,384
dolbycinema,What was your favorite moment from #AStarIsBorn? ⭐  pic.twitter.com/lNTkkdaOft,45,157
theathiyashetty,"Some movies just leave an impact on you... A Star is Born is one of them. Please go watch it. It’s beautiful, everything about it is beautiful. Bradley Cooper and Lady Gaga are out of this world. ✨❤🙌🏼 #AStarIsBornMovie  pic.twitter.com/0GnReGI7JQ",45,594
leonardmaltin,The best compliment I can give the new version of #AStarIsBorn is that I didn’t mind it. The harshest is “forgettable.  https://bit.ly/2OG99PE  #MaltinOnMovies pic.twitter.com/l0SmI5R4mO,44,217
sarahcorneyy,@starisbornmovie @ladygaga #starisbornmovie probably one of the best films I’ve seen in quite a while. couldn’t hold my tears in. the music definitely touched my heart.,43,170
sdzsafaripark,"We celebrated #InternationalSlothDay w Estrella, our 2-toed sloth who just celebrated her 2nd bday! Her name means 🌟 which means 2 years ago, a star was born...for real tho.  Help sloths by purchasing certified #sustainable wood. They're threatened by #habitatloss.  #AStarIsBorn  pic.twitter.com/GUM7anyoRS",43,235
maryhbnguyen,3 hours after.  Me still thinking of #AStarIsBornMovie:  pic.twitter.com/oLQtLM9rJt,40,93
elise_ris,Me glancing back at the screen walking out of #AStarIsBornMovie  pic.twitter.com/V46pKhJxIL,39,116
ladygagavegas,“I’ll Never Love Again” is the ballad of the century. I really hope it becomes one of Gaga’s signature songs! #AStarIsBorn,39,204
billboardcharts,Bradley Cooper earns his first #Hot100 hit with "Shallow" from #AStarIsBorn.  The duet with @ladygaga debuts at No. 28.,39,120
andrypresh,I sold my soul to them 🖤 #AStarIsBorn  pic.twitter.com/fkUBi7TdOa,38,117
valeriejarrett,"Totally agree!  Just watched #AStarIsBornMovie tonight.   Outstanding!!  The chemistry between @ladygaga and Bradley Cooper was magnetic.  It will touch your heart deeply, making you both laugh, and cry.  👍🏼👍🏼👍🏼💕❤️ https://twitter.com/VanityFair/status/1049147605291360256 …",38,372
lizcorpus15,"#AStarIsBornMovie. Absolutely speechless and in tears. It will leave you heart broken, yet fill your heart with serenity. You’ll remember how it feels to love and be loved if ever you lost your way.  pic.twitter.com/m8VQVIItOk",38,172
borreport,A Star is Born passed the $50M domestic mark after grossing an estimated $6.77M on Monday.  Total gross stands at $51.03M.  #AStarIsBorn #BoxOffice @wbpictures @starisbornmovie,37,104
24ibelieve,"@starisbornmovie Just saw the film and WOW.  It was the perfect escape from all of the craziness going on .  All performances were superb.  I laughed, cried , and sat in awe .  Can’t wait to see it again!",37,220
stavelyjordan,Guys it’s been a few hours now since I got out of #AStarIsBornMovie and I’m still not ok.,36,122
jigglycaliente,I think it's awesome @RuPaulsDragRace alumni has stormed tv broadway and the bigscreen. @willam and @itsSHANGELA on #AStarIsBornMovie . @AlyssaEdwards_1 on her own @netflix series . @Peppermint247 on @HOHmusical and @thatonequeen Angels in America. & Me on @PoseOnFX,36,423
brandicarlile,@iBradlycooper hank you Bradley! I loved being in the studio with you too ❤️🤘 Please tell us that A Star Is Born won’t be the last time we hear music from you?... @ladygaga @lukasnelson @ibradlycooper @MarlonWMusic #astarisborn 💫  pic.twitter.com/sqv5yt6bFW,36,510
